Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: C:\animes\[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng]\karaoke simples
Destino: C:\animes\[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng]\karaoke simples-karaoke-ptbr
Duração: 69249 ms

Mobile Suit Gundam - The 08th MS Team - S01E01.ass | letra original: 0 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - The 08th MS Team - S01E02 - Track3 PT-BR.ass | letra original: 0 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - The 08th MS Team - S01E02.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - The 08th MS Team - S01E03.ass | letra original: 1 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam - The 08th MS Team - S01E04.ass | letra original: 0 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 8 | avisos: 8
Mobile Suit Gundam - The 08th MS Team - S01E05.ass | letra original: 0 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - The 08th MS Team - S01E06.ass | letra original: 0 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - The 08th MS Team - S01E07.ass | letra original: 0 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam - The 08th MS Team - S01E08.ass | letra original: 0 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 2 | avisos: 2
Mobile Suit Gundam - The 08th MS Team - S01E09.ass | letra original: 0 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - The 08th MS Team - S01E10.ass | letra original: 0 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam - The 08th MS Team - S01E11.ass | letra original: 0 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 2 | avisos: 2
Mobile Suit Gundam - The 08th MS Team - S01E12.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
