Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: J:\animes\GUILTY CROWN\legendas_extraidas_ass
Destino: J:\animes\GUILTY CROWN\legendas_extraidas_ass-karaoke-ptbr
Duração: 20894 ms

Guilty Crown - S01E01_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E02_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E03_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 1 | avisos: 1
Guilty Crown - S01E04_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 2 | avisos: 2
Guilty Crown - S01E05_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 1 | avisos: 1
Guilty Crown - S01E06_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 1 | avisos: 1
Guilty Crown - S01E07_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 1 | avisos: 1
Guilty Crown - S01E08_PTBR_Track3.ass | letra original: 3 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E09_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E10_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 1 | avisos: 1
Guilty Crown - S01E11_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 2 | avisos: 2
Guilty Crown - S01E12_PTBR_Track3.ass | letra original: 1 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E13_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E14_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E15_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E16_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E17_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E18_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E19_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E20_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E21_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Guilty Crown - S01E22_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 0 | avisos: 0
