Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: C:\animes\[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng]\legendas ptbr\simples
Destino: C:\animes\[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng]\legendas ptbr\simples-karaoke-ptbr
Duração: 24715 ms

Mobile.Suit.Gundam.The.08th.MS.Team.S00E013_Track2_PT-BR.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E01_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 2 | cache: 8 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E02_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 1 | cache: 5 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E03_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E04_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E05_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 1 | cache: 9 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E06_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 0 | cache: 6 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E07_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 1 | cache: 7 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E08_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E09_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 6 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E10_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 2 | cache: 7 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E11_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 11 | cache: 6 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E12_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
