Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: C:\TRACKER-ANIMES\animes\[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng]\simples
Destino: C:\TRACKER-ANIMES\animes\[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng]\simples-karaoke-ptbr
Duração: 28112 ms

Mobile.Suit.Gundam.The.08th.MS.Team.S00E02_Track2_PT-BR.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E01_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 4 | cache: 2 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E02_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 4 | cache: 2 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E03_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 4 | avisos: 4
Mobile.Suit.Gundam.The.08th.MS.Team.S01E04_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 4 | cache: 0 | sem tradução: 5 | avisos: 5
Mobile.Suit.Gundam.The.08th.MS.Team.S01E05_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 5 | cache: 1 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E06_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 5 | cache: 3 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E07_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 4 | cache: 2 | sem tradução: 0 | avisos: 0
Mobile.Suit.Gundam.The.08th.MS.Team.S01E08_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 6 | cache: 1 | sem tradução: 3 | avisos: 3
Mobile.Suit.Gundam.The.08th.MS.Team.S01E09_Track3_PT-BR.ass | letra original: 1 | traduzidas (LLM): 5 | cache: 1 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E10_Track3_PT-BR.ass | letra original: 2 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E11_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 15 | sem tradução: 2 | avisos: 2
Mobile.Suit.Gundam.The.08th.MS.Team.S01E12_Track3_PT-BR.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
