Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: J:\animes\GUNDAM\GUNDAM UC\UC 0096 - UNICORN\Mobile Suit Gundam Unicorn Re0096\simples
Destino: J:\animes\GUNDAM\GUNDAM UC\UC 0096 - UNICORN\Mobile Suit Gundam Unicorn Re0096\simples-karaoke-ptbr
Duração: 8310 ms

Mobile Suit Gundam - Unicorn - S01E02_Track4.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E03_Track4.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E04_Track4.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E05_Track4.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E06_Track3.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E07_Track3.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam - Unicorn - S01E08_Track3.ass | letra original: 0 | traduzidas (LLM): 2 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E09_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E10_Track3.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E11_Track3.ass | letra original: 0 | traduzidas (LLM): 2 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E12_Track4.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E13_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E14_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E15_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E16_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E17_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E18_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E19_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E20_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E21_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E22_Track4.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam - Unicorn - S01E96_Track4.ass | letra original: 0 | traduzidas (LLM): 1 | cache: 0 | sem tradução: 0 | avisos: 0
