Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: J:\animes\GUNDAM\GUNDAM UC\UC 0083 - STARDUST MEMORY\simples
Destino: J:\animes\GUNDAM\GUNDAM UC\UC 0083 - STARDUST MEMORY\simples-karaoke-ptbr
Duração: 27232 ms

Mobile Suit Gundam 0083 - Stardust Memory - S01E01_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 11 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam 0083 - Stardust Memory - S01E02 5_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E03-5_PTBR_Track2.ass | letra original: 1 | traduzidas (LLM): 4 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E03_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E04_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E05_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 6 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E06_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 12 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E07_PTBR_Track3.ass | letra original: 0 | traduzidas (LLM): 5 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E08_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 7 | cache: 0 | sem tradução: 2 | avisos: 2
Mobile Suit Gundam 0083 - Stardust Memory - S01E09_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 9 | cache: 0 | sem tradução: 0 | avisos: 0
Mobile Suit Gundam 0083 - Stardust Memory - S01E10_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam 0083 - Stardust Memory - S01E11_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 8 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam 0083 - Stardust Memory - S01E12_PTBR_Track3.ass | letra original: 2 | traduzidas (LLM): 10 | cache: 0 | sem tradução: 1 | avisos: 1
Mobile Suit Gundam 0083 - Stardust Memory - S01E13_PTBR_Track3.ass | letra original: 4 | traduzidas (LLM): 3 | cache: 0 | sem tradução: 0 | avisos: 0
