Tradução de Karaokê — letras originais preservadas + tradução PT-BR
Origem: J:\animes\MACROSS\Macross-Delta-br\macross_delta\simpplificar
Destino: J:\animes\MACROSS\Macross-Delta-br\macross_delta\simpplificar-karaoke-ptbr
Duração: 810 ms

[Cleo]Macross_Delta_-_01_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_02_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_03_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_04_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_05_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_06_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_07_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_08_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_09_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_10_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_11_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_12_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_13_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_14_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_15_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_16_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_17_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_18_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_19_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_20_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_21_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_22_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_23_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_24_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_25_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
[Cleo]Macross_Delta_-_26_(10bit_BD1080p_x265)_PTBR_Track2.ass | letra original: 0 | traduzidas (LLM): 0 | cache: 0 | sem tradução: 0 | avisos: 0
